week,num_contestants,judge_score,judge_rank,fan_votes,fan_rank,combined_rank_score,rank_position,judge_pct,fan_pct,combined_pct,pct_position,rank_method_eliminates,pct_method_eliminates,actual_eliminated,would_be_eliminated_rank,would_be_eliminated_pct,in_bottom_two_rank,in_bottom_two_pct,rank_bottom_two,pct_bottom_two,methods_differ,celebrity,season
1,10,21.0,5,110725,5,10.0,5,10.77,11.07,21.84,5,Master P,Kenny Mayne,Kenny Mayne,False,False,False,False,"Master P, Kenny Mayne","Kenny Mayne, Master P",True,Jerry Rice,2
2,9,23.0,4,116908,3,7.0,4,11.5,11.69,23.19,4,Tatum O'Neal,Master P,Tatum O'Neal,False,False,False,False,"Tatum O'Neal, Master P","Master P, Tatum O'Neal",True,Jerry Rice,2
3,8,19.0,7,162332,1,8.0,4,10.44,16.23,26.67,4,Giselle Fernandez,Giselle Fernandez,Giselle Fernandez,False,False,False,False,"Giselle Fernandez, Master P","Giselle Fernandez, Master P",False,Jerry Rice,2
4,7,24.0,5,153293,5,10.0,5,15.19,15.33,30.52,5,Master P,Master P,Master P,False,False,False,False,"Master P, George Hamilton","Master P, George Hamilton",False,Jerry Rice,2
5,6,23.0,5,150644,5,10.0,5,15.23,15.06,30.3,5,Tia Carrere,Tia Carrere,Tia Carrere,False,False,True,True,"Tia Carrere, Jerry Rice","Tia Carrere, Jerry Rice",False,Jerry Rice,2
6,5,23.0,4,394680,1,5.5,3,17.29,39.47,56.76,1,George Hamilton,George Hamilton,George Hamilton,False,False,False,False,"George Hamilton, Lisa Rinna","George Hamilton, Lisa Rinna",False,Jerry Rice,2
7,4,20.5,4,494476,1,5.0,3,20.1,49.45,69.55,1,Lisa Rinna,Lisa Rinna,Lisa Rinna,False,False,True,False,"Lisa Rinna, Jerry Rice","Lisa Rinna, Stacy Keibler",False,Jerry Rice,2
8,3,26.666600000000003,3,314979,3,6.0,3,31.62,31.5,63.12,3,Jerry Rice,Jerry Rice,(无淘汰),True,True,True,True,"Jerry Rice, Stacy Keibler","Jerry Rice, Stacy Keibler",False,Jerry Rice,2
1,11,13.0,11,59741,11,22.0,11,6.31,5.97,12.28,11,Billy Ray Cyrus,Billy Ray Cyrus,(无淘汰),True,True,True,True,"Billy Ray Cyrus, Leeza Gibbons","Billy Ray Cyrus, Leeza Gibbons",False,Billy Ray Cyrus,4
2,11,21.0,7,86272,8,15.5,8,8.57,8.63,17.2,8,Clyde Drexler,Paulina Porizkova,Paulina Porizkova,False,False,False,False,"Clyde Drexler, Shandi Finnessey","Paulina Porizkova, Clyde Drexler",True,Billy Ray Cyrus,4
3,10,21.0,7,94179,8,15.0,8,9.63,9.42,19.05,8,Clyde Drexler,Shandi Finnessey,Shandi Finnessey,False,False,False,False,"Clyde Drexler, Shandi Finnessey","Shandi Finnessey, Clyde Drexler",True,Billy Ray Cyrus,4
4,9,21.0,5,273790,1,6.5,1,11.05,27.38,38.43,1,Leeza Gibbons,Leeza Gibbons,Leeza Gibbons,False,False,False,False,"Leeza Gibbons, Clyde Drexler","Leeza Gibbons, Joey Fatone",False,Billy Ray Cyrus,4
5,8,17.0,7,89977,7,14.0,7,9.66,9.0,18.66,7,Clyde Drexler,Clyde Drexler,Clyde Drexler,False,False,True,True,"Clyde Drexler, Billy Ray Cyrus","Clyde Drexler, Billy Ray Cyrus",False,Billy Ray Cyrus,4
6,7,21.0,6,161488,4,10.0,5,12.35,16.15,28.5,5,John Ratzenberger,Heather Mills,Heather Mills,False,False,False,False,"John Ratzenberger, Heather Mills","Heather Mills, John Ratzenberger",True,Billy Ray Cyrus,4
