factor,category,score_effect,vote_effect,effect_difference
Age,Young (≤25),2.601129651731057,-809.9373281300068,-812.5384577817379
Age,Prime (26-35),0.6239850396933484,23744.141420917644,23743.51743587795
Age,Middle (36-45),-0.9330140287317832,-5464.239708800713,-5463.306694771981
Age,Mature (46-55),-1.3014261174997124,-33987.750167189675,-33986.44874107218
Age,Senior (>55),-4.207449992658887,-30302.579413051106,-30298.371963058446
Industry,Social Media,6.18346774696915,-57504.8850878246,-57511.06855557157
Industry,Athlete,0.21819470071715585,12641.23559266451,12641.017397963793
Industry,Other,-0.6532277787579162,-26075.127444275015,-26074.474216496255
Industry,Singer/Musician,-0.13148756704050868,19512.34679623338,19512.47828380042
Industry,Actor/Actress,0.0952771573999911,5780.092236438446,5779.996959281046
Industry,TV Personality,-0.5845997780666146,-16859.15881219275,-16858.574212414682
Industry,Comedian,-1.3998686166672094,-43081.84973428925,-43080.449865672585
Industry,News/Journalist,-1.6761883933817252,-43799.84415215209,-43798.16796375871
Industry,Model,-2.373619467642719,-14070.559364841334,-14068.185745373692
Nationality,International,-0.18165011969751532,10067.079356619855,10067.261006739553
Nationality,Domestic (US),0.02835919853729152,-1571.6714232857921,-1571.6997824843295
