feature,importance
remaining_contestants,0.36916681784356054
total_score,0.14137080589754716
partner_experience,0.13917121951071665
age,0.1134450361513651
week,0.10457134194631834
age_group_Mature (46-55),0.022355887141904843
industry_simplified_Model,0.02193079511950586
is_domestic,0.014455385060896836
industry_simplified_TV Personality,0.012595255897238826
industry_simplified_Athlete,0.010979460518422175
age_group_Middle (36-45),0.01094644137165825
age_group_Prime (26-35),0.010309243110320564
industry_simplified_Other,0.010033827671747143
industry_simplified_Singer/Musician,0.006263202963667646
industry_simplified_News/Journalist,0.005847894451918242
age_group_Senior (>55),0.0030832077353177296
industry_simplified_Social Media,0.0017679141728023763
industry_simplified_Comedian,0.0017062634350918104
