partner,num_celebrities,num_seasons,avg_score,avg_votes,avg_placement,score_effect,vote_effect,score_effect_pct,vote_effect_pct,win_count,top3_count
Allison Holker,4,4,30.607135714285715,96879.75,6.214285714285714,4.6239367945882,-28155.35731004682,17.79587189737002,-22.51796148759292,0,1
Witney Carson (Xoshitl Gomez week 9),1,1,30.196963636363638,71960.36363636363,1.0,4.213764716666123,-53074.74367368319,16.21726689500008,-42.44787309381429,1,1
Val Chmerkovskiy (Joey Graziadei week 9),1,1,30.136363636363637,62306.72727272727,2.0,4.153164716666122,-62728.38003731955,15.984039261299978,-50.168613749235526,0,1
Valentin Chmerkovskiy,19,19,30.08420379746836,99217.23417721518,4.2405063291139244,4.101004877770844,-25817.873132831635,15.783294776156016,-20.648499200157936,3,9
Ezra Sosa (Apolo Anton Ohno week 9),1,1,29.5606,58209.09090909091,3.0,3.5774010803024865,-66826.01640095591,13.76813182764231,-53.445802413916354,0,1
Witney Carson,14,14,29.017647663551404,79209.26168224298,4.4485981308411215,3.03444874385389,-45825.845627803836,11.678503302199312,-36.65038293138782,1,5
Daniella Karagach (Rumer Willis week 9),1,1,28.98483636363636,59919.454545454544,4.0,3.001637443938847,-65115.652764592276,11.552224393984629,-52.077895693028374,0,0
Artem Chigvintsev,12,12,28.97530864197531,54958.77777777778,6.209876543209877,2.992109722277796,-70076.32953226904,11.515555615477037,-56.04532282161545,1,1
Derek Hough,17,17,28.858562195121948,183064.7987804878,2.8109756097560976,2.8753632754244336,58029.69147044097,11.066240474511625,46.41071833252881,6,9
Mark Ballas,20,21,28.41465180722892,141295.343373494,3.9578313253012047,2.4314528875314068,16260.23606344717,9.357788835185165,13.004536416421844,3,10
Sasha Farber,12,12,27.984370833333333,61452.354166666664,5.65625,2.001171913635819,-63582.753143380156,7.701791914923752,-50.85192032163847,0,2
Alan Bersten (Rashad Jennings week 9),1,1,27.909072727272726,59955.36363636364,5.0,1.9258738075752113,-65079.74367368318,7.411996550260145,-52.04917648633385,0,0
Daniella Karagach,5,5,27.727272727272727,60434.02272727273,3.6818181818181817,1.7440738075752122,-64601.08458277409,6.712313649159856,-51.66635673178109,1,3
Sharna Burgess,14,14,27.278943157894737,86196.30526315789,4.989473684210527,1.2957442381972228,-38838.80204688893,4.986854167578791,-31.062317522214943,1,5
Alan Bersten,9,9,27.15321612903226,62202.01612903226,4.467741935483871,1.1700172093347447,-62833.09118101456,4.502975992104538,-50.25235914358734,1,2
Lindsay Arnold,10,10,26.476788607594933,76039.69620253165,4.3924050632911396,0.4935896878974191,-48995.411107515174,1.8996494212390274,-39.185323355641486,1,4
Gleb Savchenko,13,13,26.19333333333333,50765.68,7.1866666666666665,0.2101344136358172,-74269.42731004683,0.8087318820336519,-59.39885917471367,0,0
Brandon Armstrong,8,8,26.122222222222224,43905.8,8.2,0.13902330252470918,-81129.30731004682,0.535050757046383,-64.88522228310826,0,1
Jenna Johnson,9,9,26.044639285714286,57917.46428571428,4.410714285714286,0.06144036601677172,-67117.64302433253,0.23646190065609896,-53.679038206367416,2,4
Emma Slater,16,16,26.006729292929293,62345.19191919192,6.313131313131313,0.023530373231778867,-62689.9153908549,0.09055995493280393,-50.137850672134896,1,1
Peta Murgatroyd,15,15,25.967265346534653,102214.46534653465,5.821782178217822,-0.015933573162861592,-22820.64196351217,-0.06132260008517491,-18.25138751384787,2,2
Maksim Chmerkoskiy,16,17,25.953848760330583,182598.2561983471,4.8429752066115705,-0.029350159366931194,57563.14888830029,-0.11295822141699893,46.037589063335794,1,5
Koko Iwasaki,2,2,25.27777777777778,40904.666666666664,7.777777777777778,-0.7054211419197358,-84130.44064338016,-2.7149126021775767,-67.28545482411093,0,0
Cheryl Burke,24,25,25.260317277486912,173188.2722513089,4.785340314136126,-0.7228816422106021,48153.164941262075,-2.7821117963369604,38.51171561108651,2,8
Pasha Pashkov,7,7,24.98648108108108,43344.16216216216,7.864864864864865,-0.9967178386164335,-81690.94514788466,-3.836008959854574,-65.33440639621112,0,1
Val Chmerkovskiy,1,1,24.8,47690.0,8.0,-1.1831989196975137,-77345.10731004682,-4.553707660685869,-61.8587123041018,0,0
Jan Ravnik,1,1,24.428571428571427,43973.0,9.0,-1.5546274911260873,-81062.10731004682,-5.983202822449799,-64.83147737782068,0,0
Julianne Hough,5,5,24.349587804878052,259600.68292682926,3.4146341463414633,-1.6336111148194625,134565.57561678244,-6.287182420718198,107.62223387636492,2,2
Britt Stewart,6,6,24.3,39122.8,7.833333333333333,-1.6831989196975137,-85912.30731004682,-6.4780280707526865,-68.71054790796633,0,0
Kym Johnson,13,14,24.295689247311827,196270.18279569893,4.559139784946237,-1.687509672385687,71235.07548565211,-6.494618609513891,56.97205930252217,2,4
Dmitry Chaplin,3,3,24.175421052631577,200407.2105263158,5.473684210526316,-1.807777867065937,75372.10321626897,-6.95748769292408,60.280752212552926,0,1
Rylee Arnold,3,3,24.166666666666668,56513.875,6.25,-1.8165322530308465,-68521.23231004682,-6.991180180103836,-54.801594355524664,0,0
Charlotte Jorgensen,1,1,24.166666666666668,261352.0,2.0,-1.8165322530308465,136316.89268995318,-6.991180180103836,109.02289414758621,0,1
Tony Dovolani,20,21,23.991752542372883,170820.08474576272,6.203389830508475,-1.9914463773246318,45784.977435715904,-7.664361818878826,36.61769755768186,0,2
Karina Smirnoff,18,18,23.91997863247863,181280.1623931624,5.205128205128205,-2.0632202872188827,56245.055083115585,-7.940593818318434,44.98341009429132,1,4
Kym Herjavec,1,1,23.5,42163.0,10.0,-2.4831989196975144,-82872.10731004682,-9.556940726859596,-66.27907080892942,0,0
Damian Whitewood,1,1,23.428542857142855,194946.14285714287,6.0,-2.5546560625546597,69911.03554709605,-9.831953603749726,55.913124762423074,0,0
Keo Motsepe,9,9,23.3,55606.28571428572,7.885714285714286,-2.6831989196975137,-69428.82159576111,-10.326668890886321,-55.527461918035534,0,1
Louis van Amstel,11,11,22.99186769230769,165695.12307692308,6.123076923076923,-2.991331227389825,40660.015766876255,-11.512559468272926,32.5188794104463,0,1
Nick Kosovich,2,2,22.833333333333332,147838.33333333334,8.333333333333334,-3.1498655863641822,22803.226023286523,-12.122701273615357,18.237458673700228,0,0
