season,week,celebrity,total_score,estimated_votes,vote_share,method,is_eliminated,popularity,viewers,optimization_success
1,1,John O'Hurley,20.0,123819,0.18370785053967958,rank,False,0.002284,13.480000000000002,
1,1,Kelly Monaco,13.0,80301,0.11914102453214404,rank,False,1.0,13.480000000000002,
1,1,Evander Holyfield,18.0,110555,0.16402806821109625,rank,False,0.010384,13.480000000000002,
1,1,Rachel Hunter,20.0,123730,0.18357526792626164,rank,False,0.103536,13.480000000000002,
1,1,Joey McIntyre,20.0,125204,0.18576274615685526,rank,False,0.010384,13.480000000000002,
1,1,Trista Sutter,18.0,110391,0.16378504263396332,rank,False,0.006533,13.480000000000002,
1,2,John O'Hurley,26.0,148710,0.1970977644759067,rank,False,0.002284,15.090000000000002,True
1,2,Kelly Monaco,17.0,198475,0.2630553169254338,rank,False,1.0,15.090000000000002,True
1,2,Evander Holyfield,14.0,142768,0.18922153257374544,rank,False,0.010384,15.090000000000002,True
1,2,Rachel Hunter,24.0,118170,0.15662074909515034,rank,False,0.103536,15.090000000000002,True
1,2,Joey McIntyre,21.0,130675,0.17319424531289307,rank,False,0.010384,15.090000000000002,True
1,2,Trista Sutter,19.0,15701,0.020810391616870674,rank,True,0.006533,15.090000000000002,True
1,3,John O'Hurley,24.0,160727,0.20514032903367702,rank,False,0.002284,15.669999999999998,True
1,3,Kelly Monaco,21.0,195893,0.25002315157436655,rank,False,1.0,15.669999999999998,True
1,3,Evander Holyfield,13.0,96380,0.12301249745984581,rank,True,0.010384,15.669999999999998,True
1,3,Rachel Hunter,26.0,163033,0.20808266730444586,rank,False,0.103536,15.669999999999998,True
1,3,Joey McIntyre,22.0,167466,0.21374135462766475,rank,False,0.010384,15.669999999999998,True
1,4,John O'Hurley,21.0,258588,0.33323235383217215,rank,False,0.002284,15.52,False
1,4,Kelly Monaco,26.0,282096,0.36352620418055137,rank,False,1.0,15.52,False
1,4,Rachel Hunter,25.0,235,0.00030293850348379284,rank,True,0.103536,15.52,False
1,4,Joey McIntyre,20.0,235080,0.3029385034837928,rank,False,0.010384,15.52,False
1,5,John O'Hurley,27.0,340797,0.3666452014322928,rank,False,0.002284,18.59,
1,5,Kelly Monaco,23.5,309644,0.33312972602724267,rank,False,1.0,18.59,
1,5,Joey McIntyre,22.5,279059,0.30022507254046454,rank,False,0.010384,18.59,
1,6,John O'Hurley,27.0,535471,0.4789540255681501,rank,False,0.002284,22.36,
1,6,Kelly Monaco,27.5,582529,0.52104597443185,rank,False,1.0,22.36,
2,1,Tatum O'Neal,23.0,192620,0.12697404967859693,rank,False,0.02221,30.34000000000001,False
2,1,Tia Carrere,20.0,156503,0.10316641536386001,rank,False,0.279523,30.34000000000001,False
2,1,George Hamilton,18.0,132426,0.08729465915403539,rank,False,0.227519,30.34000000000001,False
2,1,Lisa Rinna,19.0,144465,0.09523053725894769,rank,False,0.735645,30.34000000000001,False
2,1,Stacy Keibler,22.0,180581,0.11903817157368463,rank,False,1.0,30.34000000000001,False
2,1,Jerry Rice,21.0,168542,0.1111022934687723,rank,False,0.799567,30.34000000000001,False
2,1,Giselle Fernandez,23.0,204658,0.13490992778350924,rank,False,0.094258,30.34000000000001,False
