celebrity_name,wikidata_qid,wikidata_label,wikidata_social_media_followers,wikidata_social_media_followers_point_in_time,error
John O'Hurley,Q3142953,John O'Hurley,22469,2023-02-06T00:00:00Z,
Kelly Monaco,Q451861,Kelly Monaco,214057,2023-02-08T00:00:00Z,
Evander Holyfield,Q313451,Evander Holyfield,298359,2023-02-09T00:00:00Z,
Rachel Hunter,Q259993,Rachel Hunter,20219,2023-02-04T00:00:00Z,
Joey McIntyre,Q740877,Joey McIntyre,38400,2025-03-30T00:00:00Z,
Trista Sutter,Q3734625,Trista Sutter,124677,2023-02-04T00:00:00Z,
Tatum O'Neal,Q230138,Tatum O'Neal,,,no_followers
Tia Carrere,Q286570,Tia Carrere,37994,2023-02-09T00:00:00Z,
George Hamilton,Q359416,George Hamilton,,,no_followers
Lisa Rinna,Q239576,Lisa Rinna,654728,2022-01-09T00:00:00Z,
Stacy Keibler,Q238407,Stacy Keibler,382482,2023-02-10T00:00:00Z,
Jerry Rice,Q505423,Jerry Rice,695228,2023-02-10T00:00:00Z,
Giselle Fernandez,Q136430553,Giselle Fernandez,,,no_followers
Master P,Q722042,Master P,199764,2023-02-04T00:00:00Z,
Drew Lachey,Q5307215,Drew Lachey,,,no_followers
Kenny Mayne,Q6391145,Kenny Mayne,,,no_followers
Harry Hamlin,Q567830,Harry Hamlin,,,no_followers
Vivica A. Fox,Q220396,Vivica A. Fox,659698,2023-02-08T00:00:00Z,
Monique Coleman,Q230194,Monique Coleman,422803,2023-02-05T00:00:00Z,
Joey Lawrence,Q550395,Joey Lawrence,,,no_followers
Mario Lopez,Q372559,Mario Lopez,1332162,2022-02-26T00:00:00Z,
Emmitt Smith,Q1338802,Emmitt Smith,783072,2023-02-09T00:00:00Z,
Shanna Moakler,Q258736,Shanna Moakler,135346,2023-02-12T00:00:00Z,
Willa Ford,Q262396,Willa Ford,8350,2025-05-11T00:00:00Z,
Sara Evans,Q463989,Sara Evans,428000,2025-05-11T00:00:00Z,
Jerry Springer,Q27214,Jerry Springer,89881,2023-02-04T00:00:00Z,
Tucker Carlson,Q743162,Tucker Carlson,2180000,2024-06-08T00:00:00Z,
John Ratzenberger,Q374093,John Ratzenberger,,,no_followers
Ian Ziering,Q352233,Ian Ziering,98661,2023-02-06T00:00:00Z,
Clyde Drexler,Q295340,Clyde Drexler,,,no_followers
Laila Ali,Q255099,Laila Ali,136010,2023-02-11T00:00:00Z,
Apolo Anton Ohno,,,,,no_wikidata_match
Shandi Finnessey,Q2632936,Shandi Finnessey,11774,2023-02-11T00:00:00Z,
Paulina Porizkova,Q236154,Paulina Porizkova,113299,2023-02-06T00:00:00Z,
Heather Mills,Q266568,Heather Mills,12624,2023-02-10T00:00:00Z,
Billy Ray Cyrus,Q231259,Billy Ray Cyrus,1567767,2021-01-05T00:00:00Z,
Joey Fatone,Q1640877,Joey Fatone,197993,2023-02-07T00:00:00Z,
Leeza Gibbons,Q512367,Leeza Gibbons,,,no_followers
Cameron Mathison,Q3651353,Cameron Mathison,,,no_followers
Jane Seymour,Q182637,Jane Seymour,,,no_followers
Sabrina Bryan,Q256708,Sabrina Bryan,64454,2023-02-07T00:00:00Z,
Jennie Garth,,,,,wikidata_error:SSLError
Floyd Mayweather Jr.,,,,,wikidata_error:SSLError
Josie Maran,Q241025,Josie Maran,40621,2023-02-12T00:00:00Z,
Albert Reed,Q2681998,Albert Reed,,,no_followers
Helio Castroneves,,,,,no_wikidata_match
Mel B,,,,,no_wikidata_match
Wayne Newton,Q552806,Wayne Newton,,,no_followers
Marie Osmond,Q465641,Marie Osmond,240551,2023-02-11T00:00:00Z,
Mark Cuban,Q318503,Mark Cuban,8891912,2023-02-09T00:00:00Z,
Cristian de la Fuente,,,,,no_wikidata_match
Steve Guttenberg,Q318685,Steve Guttenberg,31498,2023-02-09T00:00:00Z,
Priscilla Presley,Q234773,Priscilla Presley,,,no_followers
Marlee Matlin,Q213287,Marlee Matlin,410307,2023-02-05T00:00:00Z,
Shannon Elizabeth,Q228882,Shannon Elizabeth,563212,2023-02-04T00:00:00Z,
Marissa Jaret Winokur,,,,,wikidata_error:SSLError
Jason Taylor,Q2786087,Jason Taylor,,,no_followers
Kristi Yamaguchi,Q237651,Kristi Yamaguchi,59350,2023-02-07T00:00:00Z,
Monica Seles,Q173633,Monica Seles,33927,2023-02-11T00:00:00Z,
Penn Jillette,Q4129653,Penn Jillette,1695520,2023-02-04T00:00:00Z,
Adam Carolla,Q4119,Adam Carolla,15219,2023-05-22T00:00:00Z,
Mario,Q177131,Mario,,,no_followers
Ted McGinley,Q617641,Ted McGinley,,,no_followers
Cloris Leachman,Q230131,Cloris Leachman,72620,2023-02-03T00:00:00Z,
Susan Lucci,Q242936,Susan Lucci,65422,2023-02-09T00:00:00Z,
Cody Linley,Q313660,Cody Linley,125810,2023-02-07T00:00:00Z,
Misty May-Treanor,Q182106,Misty May-Treanor,149046,2023-02-05T00:00:00Z,
Maurice Greene,Q296309,Maurice Greene,,,no_followers
Warren Sapp,Q180342,Warren Sapp,1028202,2023-02-10T00:00:00Z,
Jeffrey Ross,,,,,wikidata_error:SSLError
Toni Braxton,,,,,wikidata_error:SSLError
Lance Bass,Q443120,Lance Bass,422040,2018-05-10T00:00:00Z,
Kim Kardashian,,,,,wikidata_error:SSLError
Rocco DiSpirito,Q14946761,Rocco DiSpirito,,,no_followers
Brooke Burke,Q439927,Brooke Burke,2789829,2023-02-04T00:00:00Z,
Gilles Marini,Q181997,Gilles Marini,,,no_followers
Denise Richards,Q206833,Denise Richards,2131867,2023-02-09T00:00:00Z,
David Alan Grier,Q562596,David Alan Grier,176765,2023-02-10T00:00:00Z,
Lawrence Taylor,,,,,wikidata_error:SSLError
Ty Murray,,,,,wikidata_error:SSLError
