season,week,method,n_contestants,n_eliminated,actual_eliminated,predicted_eliminated,is_correct,correct_count,in_bottom_two,actual_idx,pred_idx,actual_combined_rank,pred_combined_rank
1,2,rank,6,1,Trista Sutter,Kelly Monaco,False,0,False,5,1,7,11
1,3,rank,5,1,Evander Holyfield,Kelly Monaco,False,0,True,2,1,9,9
1,4,rank,4,1,Rachel Hunter,Joey McIntyre,False,0,True,2,3,5,8
2,1,rank,10,1,Kenny Mayne,Master P,False,0,False,9,7,17,20
2,2,rank,9,1,Tatum O'Neal,Master P,False,0,True,0,7,16,18
2,3,rank,8,1,Giselle Fernandez,Master P,False,0,False,5,6,11,16
2,4,rank,7,1,Master P,Master P,True,1,True,5,5,14,14
2,5,rank,6,1,Tia Carrere,Tia Carrere,True,1,True,0,0,12,12
2,6,rank,5,1,George Hamilton,George Hamilton,True,1,True,0,0,9,9
2,7,rank,4,1,Lisa Rinna,Jerry Rice,False,0,True,0,2,6,8
3,1,percent,11,1,Tucker Carlson,Tucker Carlson,True,1,True,10,10,1,1
3,2,percent,10,1,Shanna Moakler,Jerry Springer,False,0,False,6,9,3,1
3,3,percent,9,1,Harry Hamlin,Emmitt Smith,False,0,True,0,5,2,1
3,4,percent,8,1,Vivica A. Fox,Sara Evans,False,0,True,0,6,2,1
3,5,percent,7,1,Willa Ford,Sara Evans,False,0,False,4,5,7,1
3,7,percent,5,1,Jerry Springer,Jerry Springer,True,1,True,4,4,1,1
3,8,percent,4,1,Monique Coleman,Monique Coleman,True,1,True,0,0,1,1
4,2,percent,11,1,Paulina Porizkova,Clyde Drexler,False,0,True,6,2,2,1
4,3,percent,10,1,Shandi Finnessey,Clyde Drexler,False,0,False,5,2,3,1
4,4,percent,9,1,Leeza Gibbons,Clyde Drexler,False,0,False,8,2,3,1
4,5,percent,8,1,Clyde Drexler,Clyde Drexler,True,1,True,2,2,1,1
4,6,percent,7,1,Heather Mills,John Ratzenberger,False,0,True,4,0,2,1
4,7,percent,6,1,John Ratzenberger,Billy Ray Cyrus,False,0,True,0,4,2,1
4,8,percent,5,1,Billy Ray Cyrus,Billy Ray Cyrus,True,1,True,3,3,1,1
4,9,percent,4,1,Ian Ziering,Ian Ziering,True,1,True,0,0,1,1
5,1,percent,12,1,Josie Maran,Josie Maran,True,1,True,5,5,1,1
5,2,percent,11,1,Albert Reed,Wayne Newton,False,0,False,5,8,4,1
5,3,percent,10,1,Wayne Newton,Wayne Newton,True,1,True,7,7,1,1
5,4,percent,9,1,Floyd Mayweather Jr. ,Mark Cuban,False,0,True,4,8,2,1
5,5,percent,8,1,Mark Cuban,Marie Osmond,False,0,True,7,6,2,1
5,6,percent,7,1,Sabrina Bryan,Jane Seymour,False,0,False,2,1,4,1
5,7,percent,6,1,Jane Seymour,Jane Seymour,True,1,True,1,1,1,1
5,8,percent,5,1,Cameron Mathison,Marie Osmond,False,0,False,0,4,3,1
5,9,percent,4,1,Jennie Garth,Marie Osmond,False,0,True,0,3,2,1
6,2,percent,12,2,"Monica Seles, Penn Jillette","Monica Seles, Steve Guttenberg",False,1,True,8,8,1,1
6,3,percent,10,1,Steve Guttenberg,Marissa Jaret Winokur,False,0,True,1,5,2,1
6,4,percent,9,1,Adam Carolla,Adam Carolla,True,1,True,7,7,1,1
6,5,percent,8,1,Priscilla Presley,Priscilla Presley,True,1,True,1,1,1,1
6,6,percent,7,1,Marlee Matlin,Marlee Matlin,True,1,True,1,1,1,1
6,7,percent,6,1,Shannon Elizabeth,Cristian de la Fuente,False,0,True,1,0,2,1
6,8,percent,5,1,Mario,Marissa Jaret Winokur,False,0,False,4,1,3,1
6,9,percent,4,1,Marissa Jaret Winokur,Marissa Jaret Winokur,True,1,True,1,1,1,1
7,1,percent,13,2,"Ted McGinley, Jeffrey Ross","Jeffrey Ross, Cloris Leachman",False,1,False,0,7,4,1
7,2,percent,11,1,Kim Kardashian,Cloris Leachman,False,0,False,8,0,3,1
7,4,percent,9,1,Rocco DiSpirito,Rocco DiSpirito,True,1,True,7,7,1,1
7,5,percent,8,1,Toni Braxton,Cloris Leachman,False,0,False,5,0,3,1
7,6,percent,7,1,Cloris Leachman,Cloris Leachman,True,1,True,0,0,1,1
7,7,percent,6,1,Susan Lucci,Warren Sapp,False,0,False,0,3,3,1
7,8,percent,5,1,Maurice Greene,Cody Linley,False,0,True,1,0,2,1
7,9,percent,4,1,Cody Linley,Cody Linley,True,1,True,0,0,1,1
8,2,percent,13,1,Belinda Carlisle,Steve-O,False,0,False,7,10,4,1
8,3,percent,12,1,Denise Richards,Steve Wozniak,False,0,False,1,6,3,1
8,4,percent,11,2,"Steve Wozniak, Holly Madison","Steve Wozniak, Steve-O",False,1,True,5,5,1,1
8,5,percent,9,1,David Alan Grier,Steve-O,False,0,False,1,7,4,1
8,6,percent,8,1,Steve-O,Steve-O,True,1,True,6,6,1,1
8,7,percent,7,1,Lawrence Taylor,Lawrence Taylor,True,1,True,1,1,1,1
8,8,percent,6,1,Chuck Wicks,Melissa Rycroft,False,0,True,3,5,2,1
8,9,percent,5,1,Lil' Kim,Ty Murray,False,0,True,3,1,2,1
8,10,percent,4,1,Ty Murray,Ty Murray,True,1,True,1,1,1,1
9,1,percent,16,2,"Ashley Hamiliton, Macy Gray","Macy Gray, Ashley Hamiliton",True,2,True,0,11,2,1
9,2,percent,14,1,Kathy Ireland,Kathy Ireland,True,1,True,8,8,1,1
9,3,percent,13,1,Debi Mazar,Michael Irvin,False,0,False,0,6,4,1
9,4,percent,11,1,Chuck Liddell,Louie Vito,False,0,False,2,4,3,1
9,5,percent,10,1,Natalie Coughlin,Michael Irvin,False,0,True,2,4,2,1
9,6,percent,9,2,"Melissa Joan Hart, Louie Vito","Michael Irvin, Louie Vito",False,1,True,0,3,3,1
9,7,percent,7,2,"Mark Dacascos, Michael Irvin","Mark Dacascos, Michael Irvin",True,2,True,0,0,1,1
9,8,percent,5,1,Aaron Carter,Aaron Carter,True,1,True,1,1,1,1
9,9,percent,4,1,Joanna Krupa,Donny Osmond,False,0,False,0,2,3,1
10,2,percent,11,1,Shannen Doherty,Buzz Aldrin,False,0,False,1,3,7,1
10,3,percent,10,1,Buzz Aldrin,Buzz Aldrin,True,1,True,2,2,1,1
10,4,percent,9,1,Aiden Turner,Kate Gosselin,False,0,True,0,7,2,1
10,5,percent,8,1,Kate Gosselin,Kate Gosselin,True,1,True,6,6,1,1
10,6,percent,7,1,Jake Pavelka,Jake Pavelka,True,1,True,6,6,1,1
10,7,percent,6,1,Pamela Anderson,Niecy Nash,False,0,True,3,0,2,1
10,8,percent,5,1,Niecy Nash,Niecy Nash,True,1,True,0,0,1,1
10,9,percent,4,1,Chad Ochocinco,Chad Ochocinco,True,1,True,0,0,1,1
11,1,percent,12,1,David Hasselhoff,Margaret Cho,False,0,True,0,6,2,1
11,2,percent,11,1,Michael Bolton,Michael Bolton,True,1,True,6,6,1,1
11,3,percent,10,1,Margaret Cho,Margaret Cho,True,1,True,5,5,1,1
11,4,percent,9,1,The Situation,The Situation,True,1,True,6,6,1,1
11,5,percent,8,1,Florence Henderson,Bristol Palin,False,0,True,0,7,2,1
11,6,percent,7,1,Audrina Patridge,Kurt Warner,False,0,False,5,3,6,1
11,7,percent,6,1,Rick Fox,Bristol Palin,False,0,False,2,5,4,1
11,8,percent,5,1,Kurt Warner,Bristol Palin,False,0,True,2,4,2,1
11,9,percent,4,1,Brandy,Bristol Palin,False,0,True,2,3,2,1
12,2,percent,11,1,Mike Catherwood,Sugar Ray Leonard,False,0,True,7,4,2,1
12,3,percent,10,1,Wendy Williams,Wendy Williams,True,1,True,8,8,1,1
12,4,percent,9,1,Sugar Ray Leonard,Kendra Wilkinson,False,0,True,4,8,2,1
12,5,percent,8,1,Petra Nemcova,Petra Nemcova,True,1,True,5,5,1,1
12,6,percent,7,1,Chris Jericho,Chris Jericho,True,1,True,4,4,1,1
12,7,percent,6,1,Kendra Wilkinson,Kirstie Alley,False,0,False,5,2,3,1
12,8,percent,5,1,Romeo,Ralph Macchio,False,0,True,4,0,2,1
12,9,percent,4,1,Ralph Macchio,Ralph Macchio,True,1,True,0,0,1,1
13,1,percent,12,1,Metta World Peace (Ron),Metta World Peace (Ron),True,1,True,4,4,1,1
13,2,percent,11,1,Elisabetta Canalis,Chaz Bono,False,0,False,0,8,6,1
13,3,percent,10,1,Kristin Cavallari,Chaz Bono,False,0,False,5,7,6,1
13,4,percent,9,1,Chynna Phillips,Carson Kressley,False,0,True,4,5,2,1
13,5,percent,8,1,Carson Kressley,Carson Kressley,True,1,True,4,4,1,1
13,6,percent,7,1,Chaz Bono,Chaz Bono,True,1,True,4,4,1,1
13,7,percent,6,1,David Arquette,Nancy Grace,False,0,True,0,4,2,1
13,8,percent,5,1,Nancy Grace,Nancy Grace,True,1,True,3,3,1,1
13,9,percent,4,1,Hope Solo,Hope Solo,True,1,True,2,2,1,1
14,2,percent,12,1,Martina Navratilova,Martina Navratilova,True,1,True,6,6,1,1
14,3,percent,11,1,Jack Wagner,Jack Wagner,True,1,True,1,1,1,1
14,4,percent,10,1,Sherri Sheperd,Gladys Knight,False,0,True,1,7,2,1
14,5,percent,9,1,Gavin DeGraw,Gavin DeGraw,True,1,True,5,5,1,1
14,6,percent,8,1,Gladys Knight,Gladys Knight,True,1,True,5,5,1,1
14,7,percent,7,1,Jaleel White,Melissa Gilbert,False,0,True,1,3,2,1
14,8,percent,6,2,"Roshon Fegan, Melissa Gilbert","Melissa Gilbert, Maria Menounos",False,1,False,1,2,4,1
14,9,percent,4,1,Maria Menounos,Katherine Jenkins,False,0,False,3,2,4,1
15,1,percent,13,1,Pamela Anderson,Pamela Anderson,True,1,True,7,7,1,1
15,2,percent,12,1,Joey Fatone,Bristol Palin,False,0,False,8,10,5,1
15,3,percent,11,2,"Helio Castroneves, Drew Lachey","Bristol Palin, Kirstie Alley",False,0,False,7,9,8,1
15,4,percent,9,1,Bristol Palin,Kirstie Alley,False,0,True,7,2,2,1
15,6,percent,8,1,Sabrina Bryan,Emmitt Smith,False,0,False,1,5,7,1
15,8,percent,7,2,"Gilles Marini, Kirstie Alley","Kirstie Alley, Shawn Johnson",False,1,False,0,1,5,1
15,9,percent,5,2,"Apolo Anton Ohno, Emmitt Smith","Emmitt Smith, Kelly Monaco",False,1,True,1,2,3,1
16,3,percent,11,1,Wynonna Judd,Wynonna Judd,True,1,True,7,7,1,1
16,4,percent,10,1,Lisa Vanderpump,Lisa Vanderpump,True,1,True,8,8,1,1
16,5,percent,9,1,D. L. Hughley,D. L. Hughley,True,1,True,5,5,1,1
16,6,percent,8,1,Victor Ortiz,Victor Ortiz,True,1,True,2,2,1,1
16,7,percent,7,1,Andy Dick,Andy Dick,True,1,True,4,4,1,1
16,8,percent,6,1,Sean Lowe,Sean Lowe,True,1,True,5,5,1,1
16,9,percent,5,1,Ingo Rademacher,Ingo Rademacher,True,1,True,0,0,1,1
16,10,percent,4,1,Alexandra Raisman,Jacoby Jones,False,0,True,1,2,2,1
17,2,percent,12,1,Keyshawn Johnson,Bill Nye,False,0,True,6,11,2,1
17,3,percent,11,1,Bill Nye,Valerie Harper,False,0,True,10,0,2,1
17,4,percent,10,1,Valerie Harper,Valerie Harper,True,1,True,0,0,1,1
17,5,percent,9,1,Christina Milian,Leah Remini,False,0,False,6,2,9,1
17,7,percent,8,1,"Nicole ""Snooki"" Polizzi",Bill Engvall,False,0,False,6,5,4,1
17,8,percent,7,1,Brant Daugherty,Bill Engvall,False,0,False,0,5,3,1
17,9,percent,6,1,Elizabeth Berkley Lauren,Bill Engvall,False,0,False,0,4,5,1
17,10,percent,5,1,Leah Remini,Bill Engvall,False,0,True,0,3,2,1
17,11,percent,4,1,Bill Engvall,Bill Engvall,True,1,True,2,2,1,1
18,2,percent,11,2,"Sean Avery, Diana Nyad","Billy Dee Williams, Sean Avery",False,1,True,4,0,2,1
18,5,percent,9,1,Cody Simpson,Drew Carey,False,0,True,7,6,2,1
