No.,Title,Air date,Rating/share(18–49),Viewers(millions),Ref.
1,"""Week 1""","March 22, 2010",6.4/17,24.19,
2,"""Week 2""","March 29, 2010",5.6/16,22.97,
3,"""Week 2: Results""","March 30, 2010",3.0/9,14.28,
4,"""Week 3""","April 5, 2010",5.1/14,21.21,
5,"""Week 3: Results""","April 6, 2010",2.5/7,12.44,
6,"""Week 4""","April 12, 2010",4.9/14,20.56,
7,"""Week 4: Results""","April 13, 2010",2.8/8,13.60,
8,"""Week 5""","April 19, 2010",4.8/13,21.07,
9,"""Week 5: Results""","April 20, 2010",2.4/7,13.56,
10,"""Week 6""","April 26, 2010",4.4/12,20.40,
11,"""Week 6: Results""","April 27, 2010",2.4/7,12.39,
12,"""Week 7""","May 3, 2010",4.1/12,19.64,
13,"""Week 7: Results""","May 4, 2010",2.4/7,12.04,
14,"""Week 8""","May 10, 2010",4.1/11,19.16,
15,"""Week 8: Results""","May 11, 2010",2.5/7,12.52,
16,"""Week 9""","May 17, 2010",4.1/11,19.04,
17,"""Week 9: Results""","May 18, 2010",2.5/7,13.19,
18,"""Week 10""","May 24, 2010",4.0/12,19.36,
19,"""Week 10: Results""","May 25, 2010",3.9/11,18.40,
