Episode,Airdate,Rating/Share(18–49),Viewers(millions)
Performance show 1,"September 19, 2011",4.0/10,19.03
Meet the cast,"September 20, 2011",2.1/6,10.97
Results show 1,"September 20, 2011",3.6/9,14.79
Performance show 2,"September 26, 2011",3.3/8,16.23
Special,"September 27, 2011",1.9/5,9.49
Results show 2,"September 27, 2011",2.9/7,14.39
Performance show 3,"October 3, 2011",3.1/8,16.40
Special,"October 4, 2011",1.7/5,9.11
Results show 3,"October 4, 2011",2.8/7,14.80
Performance show 4,"October 10, 2011",3.1/8,16.30
Results show 4,"October 11, 2011",3.2/8,16.60
Performance show 5,"October 17, 2011",3.2/8,17.47
Results show 5,"October 18, 2011",2.6/6,13.50
Performance show 6,"October 24, 2011",3.1/8,16.99
Results show 6,"October 25, 2011",2.6/7,14.10
Performance show 7,"October 31, 2011",2.8/8,16.30
Results show 7,"November 1, 2011",2.8/7,15.21
Performance show 8,"November 7, 2011",3.4/8,18.03
Results show 8,"November 8, 2011",2.7/7,14.80
Performance show 9,"November 14, 2011",3.4/8,18.50
Results show 9,"November 15, 2011",2.7/7,15.15
Performance show 10,"November 21, 2011",3.5/9,19.61
Final results show,"November 22, 2011",4.1/11,19.45
