Show,Episode,Air date,Viewers(millions),Rating/share(adults 18–49),Rating/share(household),Note
1,"""Performance Show: Week 1""","March 18, 2013",17.06,3.2/8,10.7/16,
2,"""Exclusive First Look""","March 19, 2013",9.76,2.1/6,6.2/10,
3,"""Performance Show: Week 2""","March 25, 2013",14.47,2.4/6,9.0/14,
4,"""Results Show: Week 2""","March 26, 2013",13.43,2.4/6,8.6/13,
5,"""Performance Show: Week 3""","April 1, 2013",13.91,2.2/6,8.9/14,
6,"""Results Show: Week 3""","April 2, 2013",13.98,2.3/6,8.8/13,
7,"""Performance Show: Week 4""","April 8, 2013",13.15,2.1/6,8.7/13,
8,"""Results Show: Week 4""","April 9, 2013",12.13,2.0/5,7.9/12,
9,"""Performance Show: Week 5""","April 15, 2013",13.40,2.2/6,8.7/13,
10,"""Results Show: Week 5""","April 16, 2013",12.73,2.2/6,8.2/12,
11,"""Performance Show: Week 6""","April 22, 2013",13.77,2.1/6,8.8/14,
12,"""Results Show: Week 6""","April 23, 2013",12.65,2.0/5,8.0/13,
13,"""Performance Show: Week 7""","April 29, 2013",13.45,2.1/6,8.7/13,
14,"""Results Show: Week 7""","April 30, 2013",10.89,1.5/4,7.0/11,
15,"""Performance Show: Week 8""","May 6, 2013",13.12,2.0/5,8.4/13,
16,"""Results Show: Week 8""","May 7, 2013",10.79,1.7/4,7.0/11,
17,"""Performance Show: Week 9""","May 13, 2013",13.33,2.0/6,8.6/14,
18,"""Results Show: Week 9""","May 14, 2013",11.87,1.8/5,7.6/12,
19,"""Performance Show: Week 10""","May 20, 2013",14.97,2.6/7,9.5/10,
20,"""Season Finale""","May 21, 2013",15.20,2.7/7,9.7/11,
