Show,Episode,Air date,Viewers(millions),Rating/share(adults 18–49),Rating/share(household),Source
1,"""Week 1: Premiere""","September 16, 2013",16.04,3.1/9,10.4/16,
2,"""Week 2: Latin Night""","September 23, 2013",13.57,2.3/6,8.8/13,
3,"""Week 3: Hollywood Night""","September 30, 2013",13.10,2.0/5,8.3/12,
4,"""Week 4""","October 7, 2013",13.00,2.0/6,8.7/13,
5,"""Week 5: Most Memorable Year""","October 14, 2013",12.99,2.1/6,8.5/13,
6,"""Week 6: Switch-Up Challenge""","October 21, 2013",13.35,2.0/5,8.6/13,
7,"""Week 7: Team Dance Week""","October 28, 2013",13.28,2.1/9,8.6/13,
8,"""Week 8: Cher Week""","November 4, 2013",13.72,2.0/5,9.4/14,
9,"""Week 9: Trio Challenge""","November 11, 2013",12.57,1.7/5,8.3/12,
10,"""Week 10: Plugged/Unplugged Night (Semifinals)""","November 18, 2013",13.80,2.0/6,9.5/14,
11,"""The Finals: Part 1""","November 25, 2013",14.61,2.2/6,9.2/14,
12,"""The Finals: Part 2""","November 26, 2013",14.75,2.4/7,9.2/15,
