Show,Episode,Air date,Viewers(million),Rating/share(adults 18–49),Source
1,"""Week 1: Premiere""","March 17, 2014",15.44,2.6/7,
2,"""Week 2: Star-Chosen Dances""","March 24, 2014",14.65,2.3/6,
3,"""Week 3: Most Memorable Year""","March 31, 2014",14.10,2.3/6,
4,"""Week 4: Switch-Up Night""","April 7, 2014",14.47,2.2/6,
5,"""Week 5: Disney Night""","April 14, 2014",14.78,2.3/7,
6,"""Week 6: Party Anthems Night""","April 21, 2014",14.06,2.2/6,
7,"""Week 7: Latin Night""","April 28, 2014",15.88,2.6/7,
8,"""Week 8: Celebrity Dance Duels""","May 5, 2014",13.12,1.9/6,
9,"""Week 9: American Icons""","May 12, 2014",14.36,2.3/7,
10,"""Week 10: The Finals - Part 1""","May 19, 2014",15.66,2.6/8,
11,Road to the Finals,"May 20, 2014",11.64,1.7/6,
12,"""Week 10: The Finals - Part 2""","May 20, 2014",15.07,2.4/7,
