Show,Episode,Air date,Viewers(million),Rating/share(adults 18–49),Ref
1,"""Week 1: Season Premiere""","September 15, 2014",13.64,2.4/7,
2,"""Week 1: Results Show""","September 16, 2014",12.68,2.2/7,
3,"""Week 2: My Jam Monday""","September 22, 2014",12.76,2.2/6,
4,"""Week 2: Results Show""","September 23, 2014",9.96,1.7/6,
5,"""Week 3: Movie Night""","September 29, 2014",12.50,1.8/5,
6,"""Week 4: Most Memorable Year""","October 6, 2014",12.74,1.9/5,
7,"""Week 5: Partner Switch-Up""","October 13, 2014",12.74,2.0/6,
8,"""Week 6""","October 20, 2014",12.58,2.0/6,
9,"""Week 7: Halloween Night""","October 27, 2014",12.62,1.9/5,
10,"""Week 8: Dynamic Duos Night""","November 3, 2014",13.09,2.0/6,
11,"""Week 9: America's Choice Night""","November 10, 2014",13.30,2.1/6,
12,"""Week 10: Plugged/Unplugged Night (Semifinals)""","November 17, 2014",14.29,2.3/7,
13,"""Week 11: The Finals – Part 1""","November 24, 2014",14.87,2.5/7,
14,"""The Road to the Finals""","November 25, 2014",11.31,1.9/6,
15,"""Week 11: The Finals – Part 2""","November 25, 2014",15.98,3.0/9,
