Show,Episode,Air Date,Rating/Share18–49,Viewers(millions),WeeklyRank (18-49),Source(s)
1,"""Week 1: Season Premiere""","March 16, 2015",2.1/7,14.16,7,
2,"""Week 2: My Jam Monday""","March 23, 2015",2.0/7,13.85,15,
3,"""Week 3: Latin Night""","March 30, 2015",2.1/7,13.76,8,
4,"""Week 4: Most Memorable Year""","April 6, 2015",2.0/6,13.75,12,
5,"""Week 5: Disney Night""","April 13, 2015",2.2/7,13.89,5,
6,"""Week 6: Spring Break Special""","April 20, 2015",2.1/6,13.42,10,
7,"""Week 7: Eras Night""","April 27, 2015",2.0/6,13.22,13,
8,"""10th Anniversary Special""","April 28, 2015",1.7/6,10.07,20,
9,"""Week 8: America's Choice""","May 4, 2015",1.9/6,12.43,11,
10,"""Week 8: America's Choice: The Results""","May 5, 2015",1.4/5,10.29,<25,
11,"""Week 9: Semi-Finals""","May 11, 2015",2.2/7,13.48,6,
12,"""Week 9: Semi-Finals: The Results""","May 12, 2015",1.5/5,10.16,24,
13,"""Week 10: Finals: Night 1""","May 18, 2015",2.3/8,14.35,3,
14,"""Week 10: Finals: Night 2""","May 19, 2015",2.3/7,13.49,4,
