Episode,Air date,Rating/Share(18–49),Viewers(millions),18–49 rank(Weekly),Viewership rank(Weekly),Ref(s)
1,"""Week 1: Premiere""","March 21, 2016",1.8,6,12.46,16
2,"""Week 2: Latin Night""","March 28, 2016",1.7,6,11.97,12
3,"""Week 3: Most Memorable Year""","April 4, 2016",1.7,6,11.72,12
4,"""Week 4: Disney Night""","April 11, 2016",2.0,7,12.51,6
5,"""Week 5: America's Switch-up""","April 18, 2016",1.6,5,10.95,13
6,"""Week 6: Famous Dances Night""","April 25, 2016",1.8,6,11.75,7
7,"""Week 7: Icons Night""","May 2, 2016",1.8,6,11.81,10
8,"""Week 8: Team-Up Challenge""","May 9, 2016",1.7,6,11.33,12
9,"""Week 9: Semifinals""","May 16, 2016",1.7,6,11.64,11
10,"""Week 10: The Finals""","May 23, 2016",1.9,7,12.34,4
11,"""Week 10: The Finals Results""","May 24, 2016",1.6,5,10.49,5
