Episode,Air date,Rating/Share(18–49),Viewers(millions)
1,"""Week 1: Premiere""","September 12, 2016",2.1
2,"""Week 2: TV Night""","September 19, 2016",1.7
3,"""Week 2: Results""","September 20, 2016",1.5
4,"""Week 3: Face-off Night""","September 26, 2016",1.8
5,"""Week 3: Results""","September 27, 2016",1.3
6,"""Week 4: Cirque du Soleil Night""","October 3, 2016",1.7
7,"""Week 4: Results""","October 4, 2016",1.4
8,"""Week 5: Most Memorable Year""","October 10, 2016",1.6
9,"""Week 6: Latin Night""","October 17, 2016",1.6
10,"""Week 7: Eras Night""","October 24, 2016",1.6
11,"""Week 8: Halloween Night""","October 31, 2016",1.5
12,"""Week 9: Showstoppers Night""","November 7, 2016",1.6
13,"""Week 10: Semifinals""","November 14, 2016",1.7
14,"""Week 11: Finals""","November 21, 2016",1.8
15,"""Week 11: The Finale Results""","November 22, 2016",1.8
