Episode,Air date,Rating/Share(18–49),Viewers(millions),18–49 rank(Weekly)
1,"""Week 1: Premiere""","March 20, 2017",2.1,7
2,"""Week 2""","March 27, 2017",1.7,6
3,"""Week 3: Vegas Night""","April 3, 2017",1.5,5
4,"""Week 4: Most Memorable Year Night""","April 10, 2017",1.6,6
5,"""Week 5: Disney Night""","April 17, 2017",1.8,6
6,"""Week 6: Boy Bands vs. Girl Groups Night""","April 24, 2017",1.6,6
7,"""Week 7: A Night at the Movies Night""","May 1, 2017",1.6,6
8,"""Week 8: Quarterfinals""","May 8, 2017",1.5,6
9,"""Week 9: Semifinals""","May 15, 2017",1.5,5
10,"""Week 10: The Finals""","May 22, 2017",1.8,7
11,"""Week 10: Season Finale""","May 23, 2017",1.4,5
