No.,Title,Air date,Rating/share(18–49),Viewers(millions)
1,"""2020 Premiere""","September 14, 2020",1.3/8,8.12
2,"""First Elimination""","September 22, 2020",1.1/7,6.09
3,"""Disney Night""","September 28, 2020",1.1/7,6.87
4,"""Top 13""","October 5, 2020",0.9/5,5.84
5,"""'80s Night""","October 12, 2020",0.9/5,6.26
6,"""Top 11""","October 19, 2020",0.8/5,5.75
7,"""Villains Night""","October 26, 2020",0.8/5,5.48
8,"""Double Elimination Night – Use Your Vote!""","November 2, 2020",0.8/5,5.55
9,"""Icons Night""","November 9, 2020",0.9/5,5.97
10,"""Semi-Finals""","November 16, 2020",0.8/5,5.75
11,"""Finale""","November 23, 2020",1.0/6,6.41
