No.,Title,Air date,Rating/share(18–49),Viewers(millions),DVR(18–49),DVR viewers(millions),Total(18–49),Total viewers(millions)
1,"""Season 30 Premiere""","September 20, 2021",0.9/6,5.47,TBD,TBD,TBD,TBD
2,"""First Elimination""","September 27, 2021",0.7/5,4.88,TBD,TBD,TBD,TBD
3,"""Britney Night""","October 4, 2021",0.7/5,4.74,TBD,TBD,TBD,TBD
4,"""Disney Week: Heroes Night""","October 11, 2021",0.7/4,4.61,TBD,TBD,TBD,TBD
5,"""Disney Week: Villains Night""","October 12, 2021",0.7/5,4.32,TBD,TBD,TBD,TBD
6,"""Grease Night""","October 18, 2021",0.8/5,5.02,TBD,TBD,TBD,TBD
7,"""Horror Night""","October 25, 2021",0.7/5,4.86,TBD,TBD,TBD,TBD
8,"""Queen Night""","November 1, 2021",0.7/4,4.79,TBD,TBD,TBD,TBD
9,"""Janet Jackson Night""","November 8, 2021",0.7/5,4.72,TBD,TBD,TBD,TBD
10,"""Semi-Finals""","November 15, 2021",0.7/4,4.81,TBD,TBD,TBD,TBD
11,"""Finale""","November 22, 2021",0.9/6,5.64,TBD,TBD,TBD,TBD
