No.,Title,Air date,Rating/share(18–49),Viewers(millions),DVR(18–49),DVR viewers(millions),Total(18–49),Total viewers(millions),Ref.
1,"""Premiere""","September 17, 2024",0.7/10,4.97,—N/a,—N/a,—N/a,—N/a,
2,"""Oscars Night""","September 24, 2024",0.8/10,4.89,—N/a,—N/a,—N/a,—N/a,
3,"""Soul Train Night""","October 7, 2024",0.6/5,3.98,—N/a,—N/a,—N/a,—N/a,
4,"""Hair Metal Night""","October 8, 2024",0.6/8,4.52,—N/a,—N/a,—N/a,—N/a,
5,"""Dedication Night""","October 15, 2024",0.7/8,4.40,0.1,0.87,0.8,5.27,
6,"""Disney Night""","October 22, 2024",0.7/8,4.85,0.1,0.79,0.8,5.64,
7,"""Halloween Nightmares Night""","October 29, 2024",0.7/7,4.47,0.1,0.83,0.8,5.30,
8,"""500th Episode""","November 12, 2024",0.7/9,5.13,0.1,0.89,0.8,6.02,
9,"""Semi-Finals""","November 19, 2024",0.8/9,5.19,0.1,0.75,0.8,5.95,
10,"""Finale""","November 26, 2024",1.1/15,6.36,0.1,0.70,1.2,7.07,
