No.,Title,Air date,Timeslot (ET),Viewers(millions)
1,"""Episode 401""","March 19, 2007",Monday 8:00 p.m.,21.80
2,"""Episode 402""","March 26, 2007",20.42,
3,"""Episode 402A""","March 27, 2007",Tuesday 9:00 p.m.,17.93
4,"""Episode 403""","April 2, 2007",Monday 8:00 p.m.,18.24
5,"""Episode 403A""","April 3, 2007",Tuesday 9:00 p.m.,14.99
6,"""Episode 404""","April 9, 2007",Monday 8:00 p.m.,18.84
7,"""Episode 404A""","April 10, 2007",Tuesday 9:00 p.m.,17.32
8,"""Episode 405""","April 16, 2007",Monday 8:00 p.m.,18.87
9,"""Episode 405A""","April 17, 2007",Tuesday 9:00 p.m.,16.54
10,"""Episode 406""","April 23, 2007",Monday 8:00 p.m.,18.87
11,"""Episode 406A""","April 24, 2007",Tuesday 9:00 p.m.,16.56
12,"""Episode 407""","April 30, 2007",Monday 8:00 p.m.,18.97
13,"""Episode 407A""","May 1, 2007",Tuesday 9:00 p.m.,16.26
14,"""Episode 408""","May 7, 2007",Monday 8:00 p.m.,19.44
15,"""Episode 408A""","May 8, 2007",Tuesday 9:00 p.m.,16.86
16,"""Episode 409""","May 14, 2007",Monday 8:00 p.m.,19.58
17,"""Episode 409A""","May 15, 2007",Tuesday 9:00 p.m.,18.44
18,"""Episode 410""","May 21, 2007",Monday 8:00 p.m.,20.19
19,"""Episode 410A""","May 22, 2007",Tuesday 9:00 p.m.,22.96
