No.,Title,Air date,Timeslot (ET),Rating/share(18–49),Viewers(millions)
1,"""Episode 801""","March 9, 2009",Monday 8:00 p.m.,6.1/15,22.83
2,"""Episode 802""","March 16, 2009",5.3/14,21.22,
3,"""Episode 802A""","March 17, 2009",Tuesday 9:00 p.m.,2.8/7,12.74
4,"""Episode 803""","March 23, 2009",Monday 8:00 p.m.,5.0/13,20.34
5,"""Episode 803A""","March 24, 2009",Tuesday 9:00 p.m.,3.9/10,16.12
6,"""Episode 804""","March 30, 2009",Monday 8:00 p.m.,4.9/12,20.48
7,"""Episode 804A""","March 31, 2009",Tuesday 9:00 p.m.,3.1/8,13.51
8,"""Episode 805""","April 6, 2009",Monday 8:00 p.m.,4.6/12,19.88
9,"""Episode 805A""","April 7, 2009",Tuesday 9:00 p.m.,3.3/8,14.56
10,"""Episode 806""","April 13, 2009",Monday 8:00 p.m.,—N/a,19.46
11,"""Episode 806A""","April 14, 2009",Tuesday 9:00 p.m.,—N/a,15.24
12,"""Episode 807""","April 20, 2009",Monday 8:00 p.m.,4.7/12,20.53
13,"""Episode 807A""","April 21, 2009",Tuesday 9:00 p.m.,3.2/8,14.72
14,"""Episode 808""","April 27, 2009",Monday 8:00 p.m.,4.3/11,19.23
15,"""Episode 808A""","April 28, 2009",Tuesday 9:00 p.m.,3.3/8,14.72
16,"""Episode 809""","May 4, 2009",Monday 8:00 p.m.,4.9/13,20.28
17,"""Episode 809A""","May 5, 2009",Tuesday 9:00 p.m.,3.2/8,14.56
18,"""Episode 810""","May 11, 2009",Monday 8:00 p.m.,4.2/11,18.55
19,"""Episode 810A""","May 12, 2009",Tuesday 9:00 p.m.,3.1/8,14.06
20,"""Episode 811""","May 18, 2009",Monday 8:00 p.m.,4.4/13,19.17
21,"""Episode 811A""","May 19, 2009",Tuesday 9:00 p.m.,5.2/14,20.31
